name,category,merchant_name
Unknown Charge 523 Timothymou,Miscellaneous,Unknown
National Grid 824 Aaronville,Utilities,National
PlayStation Store 347 Jennatown,Entertainment,Playstation
CVS Pharmacy 463 Mccartyton,Health,Cvs
Walmart 531 West Jenni,Shopping,Walmart
Comcast 763 New Jasmin,Utilities,Comcast
Unknown Charge 292 Garrisonch,Miscellaneous,Unknown
BP 448 Aguilarshi,Transportation,Bp
Hulu 875 Robertland,Entertainment,Hulu
TripAdvisor 420 Port Jasmi,Travel,Tripadvisor
Spotify 608 Obrienches,Entertainment,Spotify
Dental Office 235 Salazarlan,Health,Dental
Donation 206 New Brenda,Miscellaneous,Donation
Marriott 328 South Alys,Travel,Marriott
CVS Pharmacy 798 North Raym,Health,Cvs
IKEA 171 Kelseyburg,Shopping,Ikea
Expedia 431 Lake Sarah,Travel,Expedia
Xfinity 745 Raymondche,Utilities,Xfinity
Xbox Live 803 Parkerberg,Entertainment,Xbox
Disney+ 332 Fisherboro,Entertainment,Disney+
Twitch 149 Donnabury,Entertainment,Twitch
CVS Pharmacy 948 Lake Jason,Health,Cvs
Urgent Care 597 South Judi,Health,Urgent
Delta Airlines 848 New Kathry,Travel,Delta
Reversal 383 West Heath,Miscellaneous,Reversal
PlayStation Store 522 Danielston,Entertainment,Playstation
Chevron 563 West Norma,Transportation,Chevron
KFC 565 Sethland,Food & Drink,Kfc
Macy's 501 Lake Kimbe,Shopping,Macy's
Interest Credit 340 New Patric,Miscellaneous,Interest
Marriott 528 South Heat,Travel,Marriott
Shell Gas 525 East Rickv,Transportation,Shell
Starbucks 303 North Step,Food & Drink,Starbucks
Health Clinic 415 Kellyside,Health,Health
Uber Airport 330 East Manue,Travel,Uber
Costco 538 South Kath,Shopping,Costco
IKEA 306 West Megan,Shopping,Ikea
Interest Credit 389 West Jonat,Miscellaneous,Interest
Walmart 778 Port Steph,Shopping,Walmart
CashApp 298 Ingramberg,Miscellaneous,Cashapp
Urgent Care 403 Coxside,Health,Urgent
Panda Express 220 Bryanside,Food & Drink,Panda
Xbox Live 547 South Emil,Entertainment,Xbox
Donation 926 Pamelaches,Miscellaneous,Donation
AT&T 104 South Beth,Utilities,At&t
CVS Pharmacy 937 Ricebury,Health,Cvs
Best Buy 482 Lake James,Shopping,Best
Health Clinic 576 East Micha,Health,Health
PlayStation Store 394 Saraberg,Entertainment,Playstation
Airbnb 883 West Eliza,Travel,Airbnb
Disney+ 334 Sarahberg,Entertainment,Disney+
AT&T 169 Stevenshir,Utilities,At&t
CashApp 168 Karenburgh,Miscellaneous,Cashapp
Electric Co. 271 Melanieber,Utilities,Electric
Amazon 430 Travisburg,Shopping,Amazon
PlayStation Store 663 South Sydn,Entertainment,Playstation
Bank Fee 492 Christense,Miscellaneous,Bank
KFC 963 Port Scott,Food & Drink,Kfc
TripAdvisor 622 New Laura,Travel,Tripadvisor
Vision Center 421 Juliashire,Health,Vision
McDonald's 109 Gentryches,Food & Drink,Mcdonald's
CVS Pharmacy 185 West Krist,Health,Cvs
BP 870 Mercadoton,Transportation,Bp
Disney+ 597 East Lorra,Entertainment,Disney+
Lyft 530 Port Pamel,Transportation,Lyft
BP 622 South Eric,Transportation,Bp
McDonald's 809 Robertton,Food & Drink,Mcdonald's
Check Deposit 299 Robertshav,Miscellaneous,Check
Donation 930 East Rober,Miscellaneous,Donation
Interest Credit 812 Reedhaven,Miscellaneous,Interest
Walmart 908 Huntmouth,Shopping,Walmart
Uber 931 North Aman,Transportation,Uber
Netflix 416 Floresmout,Entertainment,Netflix
Dunkin 602 New Ambert,Food & Drink,Dunkin
Xfinity 627 Port Micha,Utilities,Xfinity
Uber Airport 420 Jessicahav,Travel,Uber
Expedia 873 Lake Taylo,Travel,Expedia
Domino's 474 West Ianbu,Food & Drink,Domino's
Etsy 190 North Chri,Shopping,Etsy
AMC Theatres 960 Gutierrezm,Entertainment,Amc
Reversal 493 West Veron,Miscellaneous,Reversal
Vision Center 445 Port Dougl,Health,Vision
McDonald's 171 New Denise,Food & Drink,Mcdonald's
Xbox Live 433 East Nicho,Entertainment,Xbox
Health Clinic 143 East Ashle,Health,Health
GNC 960 Johnsonsta,Health,Gnc
Donation 751 Andrewfurt,Miscellaneous,Donation
CVS Pharmacy 429 West Steph,Health,Cvs
Reversal 868 Williamsto,Miscellaneous,Reversal
National Grid 538 East Mallo,Utilities,National
Airbnb 201 Port Miche,Travel,Airbnb
Airbnb 198 Kingshire,Travel,Airbnb
Unknown Charge 775 Franklinsi,Miscellaneous,Unknown
PG&E 777 North Meli,Utilities,Pg&e
PlayStation Store 169 West Annel,Entertainment,Playstation
Netflix 732 South Step,Entertainment,Netflix
AMC Theatres 950 Brendatown,Entertainment,Amc
Vision Center 383 Moniquefur,Health,Vision
AMC Theatres 101 Johnsonvie,Entertainment,Amc
Spotify 390 Flemingfur,Entertainment,Spotify
Disney+ 785 Josephburg,Entertainment,Disney+
United Airlines 722 Hahntown,Travel,United
Check Deposit 310 Lake Sarac,Miscellaneous,Check
Twitch 770 Lyonsland,Entertainment,Twitch
ExxonMobil 196 New Sarah,Transportation,Exxonmobil
Starbucks 689 West Micha,Food & Drink,Starbucks
Etsy 186 Washington,Shopping,Etsy
Macy's 205 West Eric,Shopping,Macy's
Panda Express 432 New Angela,Food & Drink,Panda
Dunkin 713 North Migu,Food & Drink,Dunkin
Walmart 933 North John,Shopping,Walmart
Lyft 772 Millerfort,Transportation,Lyft
Amtrak 350 Lake Ricky,Transportation,Amtrak
Disney+ 312 New Daniel,Entertainment,Disney+
Electric Co. 379 West Yolan,Utilities,Electric
T-Mobile 806 North Adam,Utilities,T-mobile
Health Clinic 248 New John,Health,Health
Hulu 655 Simmonsfor,Entertainment,Hulu
Lyft 460 Cooperfort,Transportation,Lyft
GNC 549 Lake Lauri,Health,Gnc
Macy's 723 Perezview,Shopping,Macy's
Starbucks 373 New Robert,Food & Drink,Starbucks
TripAdvisor 554 Anthonymou,Travel,Tripadvisor
Verizon 825 Elizabethb,Utilities,Verizon
Bank Fee 609 Lake Jason,Miscellaneous,Bank
Health Clinic 718 Lake Jon,Health,Health
GNC 990 Patriciabe,Health,Gnc
Spotify 481 North Will,Entertainment,Spotify
AT&T 208 Adamsfort,Utilities,At&t
Urgent Care 866 New Christ,Health,Urgent
Lyft 869 East Krist,Transportation,Lyft
Dunkin 594 Foxville,Food & Drink,Dunkin
Etsy 818 South Jenn,Shopping,Etsy
Expedia 379 North Aaro,Travel,Expedia
